test group,most ads day,most ads hour,n_users,n_converted,n_impressions
ad,Wednesday,13,6508,165,173445
ad,Wednesday,14,5372,160,128326
ad,Wednesday,15,5734,172,153518
ad,Wednesday,16,4616,165,101905
ad,Wednesday,17,4334,140,108542
ad,Wednesday,18,4073,112,91193
ad,Wednesday,19,3894,81,81182
ad,Wednesday,20,3290,85,75231
ad,Wednesday,21,3351,92,80452
ad,Wednesday,22,3277,83,67803
ad,Wednesday,23,2884,64,51423
psa,Friday,0,34,0,899
psa,Friday,1,29,0,858
psa,Friday,2,25,0,483
psa,Friday,3,27,0,957
psa,Friday,4,4,0,162
psa,Friday,5,6,0,160
psa,Friday,6,13,0,194
psa,Friday,7,54,1,1717
psa,Friday,8,110,1,2736
psa,Friday,9,200,2,4820
psa,Friday,10,223,5,5696
psa,Friday,11,356,5,6814
psa,Friday,12,370,5,9501
psa,Friday,13,328,3,7019
psa,Friday,14,310,1,6551
psa,Friday,15,285,6,7076
psa,Friday,16,278,3,6994
psa,Friday,17,205,5,4367
psa,Friday,18,203,6,6324
psa,Friday,19,180,7,5193
psa,Friday,20,133,2,3954
psa,Friday,21,196,7,6530
psa,Friday,22,135,0,3820
psa,Friday,23,99,3,2125
psa,Monday,0,42,0,530
psa,Monday,1,35,0,769
psa,Monday,2,28,0,421
psa,Monday,3,14,0,479
psa,Monday,4,4,0,142
psa,Monday,5,2,0,94
psa,Monday,6,17,0,745
psa,Monday,7,26,0,373
psa,Monday,8,98,0,1838
psa,Monday,9,181,3,3922
psa,Monday,10,229,6,6137
psa,Monday,11,287,8,7356
psa,Monday,12,258,7,6672
psa,Monday,13,292,6,6897
psa,Monday,14,296,10,7844
psa,Monday,15,327,11,10523
psa,Monday,16,266,8,5078
psa,Monday,17,193,6,3822
psa,Monday,18,182,3,4414
psa,Monday,19,171,6,4884
psa,Monday,20,158,2,3755
psa,Monday,21,159,1,3410
psa,Monday,22,149,2,2195
psa,Monday,23,88,0,1282
psa,Saturday,0,28,0,717
psa,Saturday,1,27,0,667
psa,Saturday,2,31,0,1142
psa,Saturday,3,12,0,467
psa,Saturday,4,6,0,57
psa,Saturday,5,6,0,250
psa,Saturday,6,13,0,515
psa,Saturday,7,27,1,1785
psa,Saturday,8,81,1,2346
psa,Saturday,9,129,0,3568
psa,Saturday,10,179,0,6261
psa,Saturday,11,247,5,7658
psa,Saturday,12,252,4,5788
psa,Saturday,13,238,8,6832
psa,Saturday,14,209,1,4158
psa,Saturday,15,222,4,6036
psa,Saturday,16,223,4,5682
psa,Saturday,17,166,3,4950
psa,Saturday,18,143,2,4160
psa,Saturday,19,160,2,5117
psa,Saturday,20,155,1,4483
psa,Saturday,21,117,3,3112
psa,Saturday,22,93,0,2796
psa,Saturday,23,94,1,1501
psa,Sunday,0,45,0,1308
psa,Sunday,1,30,0,837
psa,Sunday,2,22,0,785
psa,Sunday,3,13,0,777
psa,Sunday,4,2,0,73
psa,Sunday,5,1,0,106
psa,Sunday,6,11,0,510
psa,Sunday,7,31,0,1105
psa,Sunday,8,67,1,1897
psa,Sunday,9,135,1,3674
psa,Sunday,10,222,3,4439
psa,Sunday,11,253,2,5987
psa,Sunday,12,223,3,6161
psa,Sunday,13,270,7,7290
psa,Sunday,14,253,3,6102
psa,Sunday,15,219,8,6506
psa,Sunday,16,199,7,5015
psa,Sunday,17,199,6,3917
psa,Sunday,18,172,5,4591
